player_name,minutes_played,season
Michal,465.0,21/22
Maghnes Akliouche,2868.0,24/25
Maghnes Akliouche,2824.0,23/24
Maghnes Akliouche,553.0,22/23
Maghnes Akliouche,2284.0,21/22
Maghnes Akliouche,522.0,20/21
Krépin Diatta,787.0,24/25
Krépin Diatta,2035.0,23/24
Krépin Diatta,3550.0,22/23
Krépin Diatta,1079.0,21/22
Krépin Diatta,2742.0,20/21
Krépin Diatta,3696.0,19/20
Krépin Diatta,2450.0,18/19
Krépin Diatta,675.0,17/18
Krépin Diatta,2636.0,16/17
Mika Biereth,3023.0,24/25
Mika Biereth,4141.0,23/24
Mika Biereth,386.0,22/23
Mika Biereth,2394.0,21/22
Mika Biereth,2303.0,20/21
Folarin Balogun,751.0,24/25
Folarin Balogun,2688.0,23/24
Folarin Balogun,3385.0,22/23
Folarin Balogun,2889.0,21/22
Folarin Balogun,1934.0,20/21
Folarin Balogun,1290.0,19/20
Folarin Balogun,2716.0,18/19
Folarin Balogun,1689.0,17/18
George Ilenikhena,2013.0,23/24
George Ilenikhena,2489.0,22/23
Breel Embolo,2818.0,24/25
Breel Embolo,479.0,23/24
Breel Embolo,3081.0,22/23
Breel Embolo,2718.0,21/22
Breel Embolo,2907.0,20/21
Breel Embolo,2209.0,19/20
Breel Embolo,2440.0,18/19
Breel Embolo,1480.0,17/18
Breel Embolo,1112.0,16/17
Breel Embolo,4523.0,15/16
Breel Embolo,3583.0,14/15
Marco Bizot,2877.0,23/24
Marco Bizot,3330.0,22/23
Marco Bizot,4645.0,20/21
Marco Bizot,4925.0,19/20
Marco Bizot,3900.0,18/19
Marco Bizot,3600.0,17/18
Marco Bizot,4331.0,16/17
Marco Bizot,405.0,14/15
Grégoire Coudert,3240.0,21/22
Grégoire Coudert,900.0,20/21
Grégoire Coudert,540.0,17/18
Noah Jauny,180.0,24/25
Noah Jauny,2790.0,22/23
Noah Jauny,743.0,21/22
Soumaïla Coulibaly,1162.0,24/25
Soumaïla Coulibaly,2471.0,23/24
Soumaïla Coulibaly,1527.0,22/23
Soumaïla Coulibaly,952.0,21/22
Soumaïla Coulibaly,1436.0,19/20
Brendan Chardonnet,1092.0,19/20
Brendan Chardonnet,614.0,17/18
Brendan Chardonnet,705.0,14/15
Abdoulaye Ndiaye,2790.0,23/24
Abdoulaye Ndiaye,2530.0,22/23
Abdoulaye Ndiaye,2058.0,21/22
Abdoulaye Ndiaye,360.0,20/21
Julien Le Cardinal,1616.0,22/23
Bradley Locko,3371.0,23/24
Bradley Locko,1801.0,22/23
Bradley Locko,1546.0,21/22
Bradley Locko,1440.0,20/21
Jordan Amavi,91.0,23/24
Jordan Amavi,248.0,22/23
Jordan Amavi,718.0,21/22
Jordan Amavi,1266.0,20/21
Jordan Amavi,2891.0,18/19
Jordan Amavi,4479.0,17/18
Jordan Amavi,2725.0,16/17
Jordan Amavi,1423.0,15/16
Jordan Amavi,3413.0,14/15
Massadio Haidara,1813.0,24/25
Massadio Haidara,1430.0,23/24
Massadio Haidara,1945.0,22/23
Massadio Haidara,1720.0,21/22
Massadio Haidara,2332.0,20/21
Massadio Haidara,2171.0,19/20
Massadio Haidara,3576.0,18/19
Massadio Haidara,183.0,17/18
Massadio Haidara,358.0,16/17
Massadio Haidara,666.0,15/16
Justin Bourgault,1371.0,24/25
Justin Bourgault,3691.0,23/24
Luck Zogbé,624.0,23/24
Kenny Lala,1576.0,22/23
Kenny Lala,3941.0,21/22
Kenny Lala,2793.0,20/21
Kenny Lala,2758.0,19/20
Kenny Lala,2857.0,15/16
Pierre Lees-Melou,2535.0,20/21
Pierre Lees-Melou,2483.0,18/19
Pierre Lees-Melou,4755.0,17/18
Edimilson Fernandes,1906.0,24/25
Edimilson Fernandes,2986.0,22/23
Edimilson Fernandes,1370.0,21/22
Edimilson Fernandes,1288.0,20/21
Edimilson Fernandes,2698.0,18/19
Edimilson Fernandes,1262.0,17/18
Edimilson Fernandes,2153.0,16/17
Edimilson Fernandes,4138.0,15/16
Jonas Martin,2578.0,21/22
Jonas Martin,1596.0,19/20
Jonas Martin,2571.0,18/19
Jonas Martin,3230.0,15/16
Jonas Martin,2389.0,14/15
Mahdi Camara,3686.0,21/22
Mahdi Camara,2038.0,19/20
