player_name,season,injury,from_date,to_date,days_out,matches_missed
Harry Cornick,20/21,Groin injury,"Oct 21, 2020","Nov 2, 2020",13 days,3
Nahki Wells,17/18,Ankle injury,"Jul 12, 2017","Oct 30, 2017",111 days,13
Jak Alnwick,20/21,Corona virus,"Sep 9, 2020","Sep 24, 2020",16 days,3
Jak Alnwick,17/18,Knee injury,"Oct 23, 2017","Oct 9, 2017",15 days,-
Jak Alnwick,14/15,Wrist injury,"Apr 1, 2015","Jun 1, 2015",62 days,8
Jak Alnwick,14/15,Shoulder injury,"Jan 7, 2015","Jan 30, 2015",24 days,2
Jesper Daland,22/23,Ill,"May 6, 2023","May 9, 2023",4 days,1
Calum Chambers,19/20,Cruciate ligament tear,"Dec 29, 2019","Nov 8, 2020",316 days,41
Calum Chambers,18/19,Knock,"Dec 7, 2018","Dec 14, 2018",8 days,1
Calum Chambers,18/19,Ankle injury,"Oct 21, 2018","Nov 5, 2018",16 days,3
Calum Chambers,17/18,Hip injury,"Sep 21, 2017","Nov 18, 2017",59 days,11
Calum Chambers,16/17,Foot injury,"Feb 20, 2017","Apr 17, 2017",57 days,10
Calum Chambers,16/17,Foot injury,"Jan 26, 2017","Feb 2, 2017",8 days,2
Dimitrios Goutas,21/22,pneumonia,"Jan 14, 2022","Jan 21, 2022",8 days,2
Dimitrios Goutas,21/22,Fitness,"Aug 24, 2021","Aug 27, 2021",4 days,1
Dimitrios Goutas,21/22,Quarantine,"Aug 18, 2021","Aug 24, 2021",7 days,2
Dimitrios Goutas,21/22,Corona virus,"Aug 10, 2021","Aug 18, 2021",9 days,2
Dimitrios Goutas,15/16,unknown injury,"Jan 9, 2016","Jan 18, 2016",10 days,2
Jamilu Collins,22/23,Cruciate ligament injury,"Aug 17, 2022","Jun 1, 2023",289 days,50
Jamilu Collins,19/20,Rest,"Feb 17, 2020","Feb 23, 2020",7 days,1
Jamilu Collins,18/19,Ill,"Jun 21, 2019","Jun 27, 2019",7 days,2
Joel Bagan,20/21,Shoulder injury,"Mar 5, 2021","Dec 31, 2021",302 days,47
Sivert Mannsverk,24/25,Ankle injury,"Sep 10, 2024","Jan 10, 2025",123 days,22
Sivert Mannsverk,23/24,Foot injury,"Sep 27, 2023","Feb 4, 2024",131 days,26
David Turnbull,22/23,Ankle injury,"Oct 3, 2022","Oct 24, 2022",22 days,6
David Turnbull,21/22,Hamstring injury,"Dec 19, 2021","Mar 19, 2022",91 days,19
David Turnbull,20/21,Corona virus,"Nov 20, 2020","Nov 30, 2020",11 days,3
David Turnbull,18/19,Knee surgery,"Jul 2, 2019","Feb 24, 2020",238 days,46
Joe Ralls,18/19,Hamstring injury,"Apr 22, 2019","May 31, 2019",40 days,3
Joe Ralls,18/19,Knock,"Feb 24, 2019","Mar 1, 2019",6 days,1
Joe Ralls,18/19,Knee injury,"Oct 7, 2018","Nov 8, 2018",33 days,3
Joe Ralls,17/18,Hamstring injury,"Feb 26, 2018","Apr 16, 2018",50 days,8
Alex Robertson,23/24,Torn thigh muscle,"Jan 8, 2024","May 1, 2024",115 days,20
Aaron Ramsey,24/25,Hamstring injury,"Sep 11, 2024",,199 days,37
Aaron Ramsey,23/24,Knee injury,"Sep 19, 2023","Dec 1, 2023",74 days,17
Aaron Ramsey,21/22,Corona virus,"Jan 10, 2022","Jan 21, 2022",12 days,3
Aaron Ramsey,21/22,muscular problems,"Nov 19, 2021","Jan 2, 2022",45 days,9
Aaron Ramsey,21/22,Muscle fatigue,"Oct 29, 2021","Nov 2, 2021",5 days,2
Aaron Ramsey,21/22,muscular problems,"Sep 28, 2021","Oct 16, 2021",19 days,4
Aaron Ramsey,21/22,muscular problems,"Aug 24, 2021","Sep 10, 2021",18 days,4
Aaron Ramsey,20/21,Thigh problems,"Mar 11, 2021","Apr 2, 2021",23 days,5
Aaron Ramsey,20/21,muscular problems,"Feb 1, 2021","Feb 16, 2021",16 days,4
Aaron Ramsey,20/21,Muscle injury,"Nov 5, 2020","Nov 22, 2020",18 days,5
Aaron Ramsey,20/21,Muscle injury,"Oct 12, 2020","Oct 19, 2020",8 days,2
Aaron Ramsey,19/20,Quarantine,"Oct 5, 2020","Oct 10, 2020",6 days,1
Aaron Ramsey,19/20,unknown injury,"Jun 6, 2020","Jun 15, 2020",10 days,1
Aaron Ramsey,19/20,Stress reaction of the bone,"Dec 5, 2019","Dec 14, 2019",10 days,2
