player_name,date_of_birth/age,height,position,current_age_x,minutes_played,season,injury,from_date,to_date,days_out,matches_missed,injury_year,current_age_y,age_at_injury
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3560.0,20/21,Foot bruise,2020-11-30,"Dec 10, 2020",11 days,1,2020.0,22,17
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,3560.0,20/21,Foot bruise,2020-11-16,"Nov 26, 2020",11 days,2,2020.0,22,17
Nuno Mendes,Jun 19 2002 (22),183 m,Left-Back,22,4000.0,19/20,,,,,,,,
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,3088.0,23/24,Cruciate ligament tear,2024-05-01,"Dec 1, 2024",215 days,24,2024.0,29,28
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,3088.0,23/24,unknown injury,2024-04-04,"Apr 10, 2024",7 days,2,2024.0,29,28
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,1170.0,22/23,Cruciate ligament tear,2022-11-23,"Jun 30, 2023",220 days,35,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,1170.0,22/23,Torn muscle bundle,2022-09-14,"Oct 31, 2022",48 days,12,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,2804.0,21/22,muscular problems,2022-06-09,"Jun 13, 2022",5 days,2,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,2804.0,21/22,muscular problems,2022-04-14,"Apr 21, 2022",8 days,1,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,2804.0,21/22,Thigh problems,2022-04-07,"Apr 11, 2022",5 days,1,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,2804.0,21/22,Corona virus,2022-01-03,"Jan 17, 2022",15 days,2,2022.0,29,26
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,2804.0,21/22,Meniscus tear,2021-06-28,"Aug 30, 2021",64 days,5,2021.0,29,25
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,3679.0,20/21,Bruised ribs,2021-04-08,"Apr 12, 2021",5 days,1,2021.0,29,25
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,3679.0,20/21,Thigh problems,2020-12-03,"Dec 7, 2020",5 days,1,2020.0,29,24
Lucas Hernández,Feb 14 1996 (29),184 m,Left-Back,29,1120.0,19/20,Tendon irritation,2020-03-02,"Mar 5, 2020",4 days,1,2020.0,29,24
