player_name,minutes_played,season
Daniël Virginio Deen,180.0,21/22
Daniël Virginio Deen,270.0,20/21
Daniël Virginio Deen,1710.0,19/20
Daniël Virginio Deen,170.0,18/19
Wouter Goes,2788.0,24/25
Wouter Goes,2402.0,23/24
Wouter Goes,4218.0,22/23
Wouter Goes,5565.0,21/22
Wouter Goes,540.0,20/21
Wouter Goes,2002.0,19/20
Alexandre Penetra,3814.0,24/25
Alexandre Penetra,2888.0,23/24
Alexandre Penetra,3675.0,22/23
Alexandre Penetra,3195.0,21/22
Alexandre Penetra,2688.0,20/21
Alexandre Penetra,90.0,18/19
Maxim Dekker,1199.0,24/25
Maxim Dekker,2290.0,23/24
Maxim Dekker,2612.0,22/23
Maxim Dekker,4973.0,21/22
Maxim Dekker,727.0,20/21
Bruno Martins Indi,435.0,24/25
Bruno Martins Indi,1493.0,23/24
Bruno Martins Indi,1625.0,22/23
Bruno Martins Indi,5244.0,21/22
Bruno Martins Indi,3524.0,20/21
Bruno Martins Indi,1516.0,17/18
Bruno Martins Indi,3597.0,16/17
Bruno Martins Indi,3081.0,15/16
Bruno Martins Indi,3860.0,14/15
Bruno Martins Indi,3940.0,13/14
Bruno Martins Indi,4958.0,12/13
Lewis Schouten,737.0,24/25
Lewis Schouten,1615.0,23/24
Lewis Schouten,3853.0,22/23
Lewis Schouten,3905.0,21/22
Lewis Schouten,218.0,20/21
David Møller Wolfe,3642.0,24/25
David Møller Wolfe,4737.0,23/24
David Møller Wolfe,1414.0,22/23
David Møller Wolfe,3157.0,21/22
David Møller Wolfe,2583.0,19/20
David Møller Wolfe,166.0,18/19
Mees de Wit,692.0,24/25
Mees de Wit,508.0,23/24
Mees de Wit,1210.0,22/23
Mees de Wit,17.0,19/20
Mees de Wit,0.0,18/19
Mees de Wit,1701.0,16/17
Mees de Wit,3020.0,15/16
Mees de Wit,868.0,14/15
Seiya Maikuma,3462.0,24/25
Seiya Maikuma,1657.0,23/24
Seiya Maikuma,3293.0,22/23
Denso Kasius,1651.0,24/25
Denso Kasius,1101.0,23/24
Denso Kasius,1189.0,22/23
Denso Kasius,2227.0,21/22
Denso Kasius,1631.0,20/21
Denso Kasius,2478.0,19/20
Denso Kasius,3822.0,18/19
Denso Kasius,560.0,17/18
Peer Koopmeiners,3762.0,24/25
Peer Koopmeiners,2183.0,22/23
Peer Koopmeiners,2519.0,21/22
Peer Koopmeiners,2992.0,20/21
Peer Koopmeiners,3834.0,18/19
Peer Koopmeiners,4418.0,17/18
Peer Koopmeiners,2074.0,16/17
Peer Koopmeiners,387.0,15/16
Kristijan Belic,800.0,24/25
Kristijan Belic,3189.0,23/24
Kristijan Belic,2432.0,22/23
Kristijan Belic,565.0,21/22
Kristijan Belic,1801.0,19/20
Kristijan Belic,1194.0,18/19
Kristijan Belic,1140.0,17/18
Kristijan Belic,165.0,16/17
Jordy Clasie,3302.0,24/25
Jordy Clasie,4239.0,23/24
Jordy Clasie,6245.0,22/23
Jordy Clasie,4330.0,21/22
Jordy Clasie,780.0,20/21
Jordy Clasie,1944.0,19/20
Jordy Clasie,3571.0,18/19
Jordy Clasie,1242.0,17/18
Jordy Clasie,1878.0,16/17
Jordy Clasie,1993.0,15/16
Jordy Clasie,5264.0,14/15
Jordy Clasie,3631.0,13/14
Jordy Clasie,4216.0,12/13
Kees Smit,2010.0,24/25
Kees Smit,3728.0,23/24
Kees Smit,5517.0,22/23
Kees Smit,1846.0,21/22
Zico Buurmeester,1436.0,24/25
Zico Buurmeester,2255.0,22/23
Zico Buurmeester,2928.0,21/22
Zico Buurmeester,1463.0,20/21
Zico Buurmeester,2145.0,19/20
Zico Buurmeester,1930.0,18/19
Sven Mijnans,3597.0,24/25
Sven Mijnans,3751.0,23/24
Sven Mijnans,4030.0,22/23
Sven Mijnans,2074.0,21/22
Sven Mijnans,1982.0,19/20
Sven Mijnans,2386.0,18/19
Ruben van Bommel,1702.0,24/25
Ruben van Bommel,3527.0,23/24
Ruben van Bommel,2183.0,22/23
Ruben van Bommel,0.0,21/22
Ro-Zangelo Daal,1924.0,24/25
Ro-Zangelo Daal,4545.0,22/23
Ro-Zangelo Daal,3328.0,21/22
Ro-Zangelo Daal,700.0,20/21
Ibrahim Sadiq,679.0,24/25
Ibrahim Sadiq,2493.0,23/24
Ibrahim Sadiq,1320.0,21/22
Ibrahim Sadiq,597.0,20/21
Ibrahim Sadiq,1639.0,18/19
Mayckel Lahdo,1821.0,24/25
Mayckel Lahdo,1900.0,23/24
Mayckel Lahdo,2000.0,22/23
Mayckel Lahdo,626.0,21/22
Jayden Addai,1594.0,24/25
Jayden Addai,2109.0,23/24
Jayden Addai,4606.0,22/23
Jayden Addai,3586.0,21/22
Jayden Addai,548.0,20/21
Ernest Poku,2387.0,24/25
Ernest Poku,2699.0,23/24
Ernest Poku,4925.0,22/23
Ernest Poku,2623.0,21/22
Ernest Poku,639.0,20/21
Ernest Poku,264.0,19/20
Troy Parrott,3582.0,24/25
Troy Parrott,2238.0,23/24
Troy Parrott,2471.0,22/23
Troy Parrott,3538.0,21/22
Troy Parrott,2212.0,20/21
Troy Parrott,1031.0,19/20
Troy Parrott,2472.0,18/19
Troy Parrott,880.0,17/18
Mexx Meerdink,799.0,24/25
Mexx Meerdink,2079.0,23/24
Mexx Meerdink,1863.0,22/23
Mexx Meerdink,3157.0,21/22
Mexx Meerdink,184.0,20/21
Mexx Meerdink,1424.0,19/20
Justin Bijlow,2094.0,23/24
Justin Bijlow,4050.0,22/23
Justin Bijlow,4242.0,21/22
Justin Bijlow,2700.0,20/21
Justin Bijlow,1560.0,19/20
Justin Bijlow,1771.0,18/19
Justin Bijlow,1935.0,17/18
Justin Bijlow,4320.0,16/17
Justin Bijlow,3250.0,15/16
Justin Bijlow,956.0,14/15
Justin Bijlow,330.0,13/14
Timon Wellenreuther,2466.0,23/24
Timon Wellenreuther,1470.0,22/23
Timon Wellenreuther,2880.0,21/22
Timon Wellenreuther,1405.0,17/18
Timon Wellenreuther,900.0,16/17
Timon Wellenreuther,3645.0,15/16
Timon Wellenreuther,2340.0,14/15
Timon Wellenreuther,2782.0,13/14
Timon Wellenreuther,2970.0,12/13
Plamen Andreev,1080.0,24/25
Plamen Andreev,4744.0,23/24
Plamen Andreev,4050.0,22/23
Plamen Andreev,1137.0,21/22
Plamen Andreev,20.0,20/21
Liam Bossin,1890.0,24/25
Liam Bossin,1455.0,19/20
Liam Bossin,212.0,14/15
Liam Bossin,180.0,13/14
Dávid Hancko,3690.0,24/25
Dávid Hancko,5108.0,23/24
Dávid Hancko,6773.0,22/23
Dávid Hancko,5534.0,21/22
Dávid Hancko,3074.0,20/21
Dávid Hancko,2368.0,19/20
Dávid Hancko,1373.0,18/19
Dávid Hancko,4445.0,17/18
Dávid Hancko,1471.0,16/17
Dávid Hancko,4370.0,15/16
Dávid Hancko,10.0,14/15
Thomas Beelen,2032.0,23/24
Thomas Beelen,2523.0,22/23
Thomas Beelen,165.0,21/22
Thomas Beelen,296.0,19/20
Thomas Beelen,180.0,18/19
Thomas Beelen,1269.0,17/18
Facundo González,244.0,24/25
Facundo González,2489.0,23/24
Facundo González,4559.0,22/23
Facundo González,2886.0,20/21
Gernot Trauner,1488.0,24/25
Gernot Trauner,2031.0,23/24
Gernot Trauner,3824.0,22/23
Gernot Trauner,5423.0,21/22
Gernot Trauner,4473.0,20/21
Gernot Trauner,5126.0,19/20
Gernot Trauner,3732.0,18/19
Gernot Trauner,754.0,16/17
Gernot Trauner,1860.0,13/14
Gernot Trauner,1296.0,12/13
Jeyland Mitchell,1054.0,24/25
Jeyland Mitchell,2136.0,23/24
Jeyland Mitchell,0.0,20/21
Quilindschy Hartman,184.0,24/25
Quilindschy Hartman,3382.0,23/24
Quilindschy Hartman,3958.0,22/23
Quilindschy Hartman,584.0,21/22
Quilindschy Hartman,3087.0,19/20
Quilindschy Hartman,3764.0,18/19
Quilindschy Hartman,254.0,17/18
Hugo Bueno,1399.0,24/25
Hugo Bueno,996.0,23/24
Hugo Bueno,1549.0,21/22
Hugo Bueno,1944.0,20/21
Hugo Bueno,1545.0,19/20
Gijs Smal,2483.0,23/24
Gijs Smal,4184.0,22/23
Gijs Smal,2254.0,18/19
Gijs Smal,4391.0,15/16
Gijs Smal,2638.0,14/15
Jordan Lotomba,803.0,24/25
Jordan Lotomba,3332.0,22/23
Jordan Lotomba,2247.0,21/22
Jordan Lotomba,3261.0,20/21
Jordan Lotomba,3008.0,19/20
Jordan Lotomba,1359.0,18/19
Jordan Lotomba,2903.0,17/18
Jordan Lotomba,2294.0,16/17
Jordan Lotomba,3188.0,15/16
Jordan Lotomba,4435.0,14/15
Jordan Lotomba,292.0,13/14
Givairo Read,2054.0,24/25
Givairo Read,3910.0,23/24
Givairo Read,2270.0,22/23
Givairo Read,588.0,21/22
Bart Nieuwkoop,1692.0,23/24
Bart Nieuwkoop,5041.0,22/23
Bart Nieuwkoop,1481.0,20/21
Bart Nieuwkoop,1643.0,19/20
Bart Nieuwkoop,2021.0,18/19
Bart Nieuwkoop,1556.0,17/18
Bart Nieuwkoop,1410.0,16/17
Bart Nieuwkoop,2022.0,15/16
Bart Nieuwkoop,5410.0,14/15
Bart Nieuwkoop,3436.0,13/14
Ramiz Zerrouki,1749.0,24/25
Ramiz Zerrouki,2975.0,23/24
Ramiz Zerrouki,4257.0,22/23
Ramiz Zerrouki,3324.0,21/22
Ramiz Zerrouki,2211.0,20/21
Ramiz Zerrouki,1843.0,19/20
Ramiz Zerrouki,4202.0,16/17
Ramiz Zerrouki,2657.0,15/16
Oussama Targhalline,1132.0,24/25
Oussama Targhalline,1764.0,23/24
Oussama Targhalline,1565.0,22/23
Oussama Targhalline,1348.0,21/22
Oussama Targhalline,210.0,20/21
Quinten Timber,2227.0,24/25
Quinten Timber,3874.0,23/24
Quinten Timber,3072.0,22/23
Quinten Timber,3222.0,21/22
Quinten Timber,905.0,20/21
Quinten Timber,3070.0,19/20
Quinten Timber,6342.0,18/19
Quinten Timber,4690.0,17/18
Quinten Timber,2390.0,16/17
In-beom Hwang,2587.0,24/25
In-beom Hwang,3883.0,23/24
In-beom Hwang,4497.0,22/23
In-beom Hwang,2884.0,21/22
In-beom Hwang,1959.0,19/20
In-beom Hwang,7013.0,18/19
In-beom Hwang,2404.0,17/18
In-beom Hwang,1019.0,14/15
