player_name,date_of_birth/age,height,position
Andy Diouf,May 17 2003 (21),187 m,Central Midfield
Neil El Aynaoui,Jul 2 2001 (23),185 m,Central Midfield
Anass Zaroury,Nov 7 2000 (24),176 m,Attacking Midfield
Angelo Fulgini,Aug 20 1996 (28),182 m,Attacking Midfield
Adrien Thomasson,Dec 10 1993 (31),175 m,Attacking Midfield
Jeremy Agbonifo,Oct 24 2005 (19),178 m,Right Winger
M'Bala Nzola,Aug 18 1996 (28),185 m,Centre-Forward
Martín Satriano,Feb 20 2001 (24),187 m,Centre-Forward
Wesley Saïd,Apr 19 1995 (29),171 m,Centre-Forward
Florian Sotoca,Oct 25 1990 (34),187 m,Centre-Forward
Rémy Labeau Lascary,Mar 3 2003 (22),184 m,Centre-Forward
Goduine Koyalipou,Feb 15 2000 (25),184 m,Centre-Forward
Gerónimo Rulli,May 20 1992 (32),189 m,Goalkeeper
Jeffrey de Lange,Apr 1 1998 (27),190 m,Goalkeeper
Rubén Blanco,Jul 25 1995 (29),188 m,Goalkeeper
Van Neck,Mar 7 2004 (21),191 m,Goalkeeper
Leonardo Balerdi,Jan 26 1999 (26),187 m,Centre-Back
Luiz Felipe,Mar 22 1997 (28),187 m,Centre-Back
Derek Cornelius,Nov 25 1997 (27),187 m,Centre-Back
Chancel Mbemba,Aug 8 1994 (30),182 m,Centre-Back
Quentin Merlin,May 16 2002 (22),174 m,Left-Back
Ulisses Garcia,Jan 11 1996 (29),182 m,Left-Back
Amar Dedic,Aug 18 2002 (22),180 m,Right-Back
Amir Murillo,Feb 11 1996 (29),184 m,Right-Back
Pol Lirola,Aug 13 1997 (27),183 m,Right-Back
Pierre-Emile Højbjerg,Aug 5 1995 (29),185 m,Defensive Midfield
Ismaël Bennacer,Dec 1 1997 (27),175 m,Defensive Midfield
Geoffrey Kondogbia,Feb 15 1993 (32),188 m,Defensive Midfield
Adrien Rabiot,Apr 3 1995 (30),191 m,Central Midfield
Valentin Rongier,Dec 7 1994 (30),172 m,Central Midfield
Bilal Nadir,Nov 28 2003 (21),179 m,Central Midfield
Amine Harit,Jun 18 1997 (27),180 m,Attacking Midfield
Darryl Bakola,Nov 30 2007 (17),178 m,Attacking Midfield
Luis Henrique,Dec 14 2001 (23),181 m,Left Winger
Jonathan Rowe,Apr 30 2003 (21),173 m,Left Winger
Mason Greenwood,Oct 1 2001 (23),181 m,Right Winger
