player_name,date_of_birth/age,height,position
Kjell Wätjen,Feb 16 2006 (19),184 m,Central Midfield
Julian Brandt,May 2 1996 (28),185 m,Attacking Midfield
Giovanni Reyna,Nov 13 2002 (22),185 m,Attacking Midfield
Jamie Gittens,Aug 8 2004 (20),178 m,Left Winger
Julien Duranville,May 5 2006 (18),173 m,Left Winger
Karim Adeyemi,Jan 18 2002 (23),180 m,Right Winger
Cole Campbell,Feb 20 2006 (19),170 m,Right Winger
Serhou Guirassy,Mar 12 1996 (28),187 m,Centre-Forward
Maximilian Beier,Oct 17 2002 (22),185 m,Centre-Forward
Kevin Trapp,Jul 8 1990 (34),189 m,Goalkeeper
Kauã Santos,Apr 11 2003 (21),198 m,Goalkeeper
Jens Grahl,Sep 22 1988 (36),192 m,Goalkeeper
Arthur Theate,May 25 2000 (24),185 m,Centre-Back
Robin Koch,Jul 17 1996 (28),192 m,Centre-Back
Tuta,Jul 4 1999 (25),185 m,Centre-Back
Aurèle Amenda,Jul 31 2003 (21),197 m,Centre-Back
Nnamdi Collins,Jan 10 2004 (21),191 m,Centre-Back
Nathaniel Brown,Jun 16 2003 (21),180 m,Left-Back
Niels Nkounkou,Nov 1 2000 (24),180 m,Left-Back
Rasmus Kristensen,Jul 11 1997 (27),187 m,Right-Back
Timothy Chandler,Mar 29 1990 (34),187 m,Right-Back
Ellyes Skhiri,May 10 1995 (29),185 m,Defensive Midfield
Hugo Larsson,Jun 27 2004 (20),187 m,Central Midfield
Mahmoud Dahoud,Jan 1 1996 (29),178 m,Central Midfield
Oscar Højlund,Jan 4 2005 (20),187 m,Central Midfield
Junior Dina Ebimbe,Nov 21 2000 (24),184 m,Right Midfield
Farès Chaïbi,Nov 28 2002 (22),183 m,Attacking Midfield
Can Uzun,Nov 11 2005 (19),186 m,Attacking Midfield
Mario Götze,Jun 3 1992 (32),176 m,Attacking Midfield
Krisztián Lisztes,May 6 2005 (19),183 m,Attacking Midfield
Jean-Mattéo Bahoya,May 7 2005 (19),180 m,Left Winger
Ansgar Knauff,Jan 10 2002 (23),180 m,Right Winger
Hugo Ekitiké,Jun 20 2002 (22),190 m,Centre-Forward
Elye Wahi,Jan 2 2003 (22),181 m,Centre-Forward
Igor Matanovic,Mar 31 2003 (21),194 m,Centre-Forward
Michy Batshuayi,Oct 2 1993 (31),185 m,Centre-Forward
Oliver Baumann,Jun 2 1990 (34),187 m,Goalkeeper
Luca Philipp,Nov 28 2000 (24),192 m,Goalkeeper
Jakob Busk,Sep 12 1993 (31),189 m,Goalkeeper
Lúkas Petersson,Feb 9 2004 (21),195 m,Goalkeeper
Ozan Kabak,Mar 25 2000 (24),187 m,Centre-Back
Leo Østigård,Nov 28 1999 (25),183 m,Centre-Back
Robin Hranac,Jan 29 2000 (25),190 m,Centre-Back
Arthur Chaves,Jan 29 2001 (24),188 m,Centre-Back
Kevin Akpoguma,Apr 19 1995 (29),192 m,Centre-Back
Stanley Nsoki,Apr 9 1999 (25),184 m,Centre-Back
Alexander Prass,May 26 2001 (23),180 m,Left-Back
David Jurásek,Aug 7 2000 (24),183 m,Left-Back
Christopher Lenz,Sep 22 1994 (30),180 m,Left-Back
Valentin Gendrey,Jun 21 2000 (24),179 m,Right-Back
Pavel Kaderabek,Apr 25 1992 (32),182 m,Right-Back
