player_name,season,injury,from_date,to_date,days_out,matches_missed
Florian Wirtz,20/21,Abdominal muscle strain,"Oct 15, 2020","Oct 19, 2020",5 days,1
Emiliano Buendía,23/24,Cruciate ligament tear,"Aug 9, 2023","Jul 1, 2024",328 days,56
Emiliano Buendía,20/21,Shin injury,"Sep 1, 2020","Sep 30, 2020",30 days,4
Emiliano Buendía,19/20,Muscle strain,"Jan 19, 2020","Jan 31, 2020",13 days,2
Emiliano Buendía,16/17,Ankle injury,"Nov 28, 2016","Dec 15, 2016",18 days,2
Emiliano Buendía,16/17,Ankle injury,"Jul 29, 2016","Nov 24, 2016",119 days,22
Jonas Hofmann,24/25,Hamstring injury,"Nov 22, 2024","Dec 23, 2024",32 days,8
Jonas Hofmann,22/23,Ill,"Jan 24, 2023","Jan 27, 2023",4 days,1
Jonas Hofmann,22/23,Acromioclavicular joint dislocation,"Oct 20, 2022","Nov 3, 2022",15 days,2
Jonas Hofmann,21/22,Torn muscle fiber,"Mar 10, 2022","Apr 4, 2022",26 days,5
Jonas Hofmann,21/22,Knee surgery,"Dec 13, 2021","Jan 20, 2022",39 days,5
Jonas Hofmann,20/21,Knee injury,"Jun 14, 2021","Jun 21, 2021",8 days,2
Jonas Hofmann,20/21,Corona virus,"Mar 25, 2021","Apr 12, 2021",19 days,4
Jonas Hofmann,20/21,muscular problems,"Mar 4, 2021","Mar 8, 2021",5 days,1
Jonas Hofmann,20/21,Torn muscle bundle,"Nov 12, 2020","Dec 21, 2020",40 days,11
Jonas Hofmann,19/20,Internal ligament tear,"Aug 12, 2019","Oct 14, 2019",64 days,13
Jonas Hofmann,18/19,Ankle injury,"Feb 11, 2019","Feb 18, 2019",8 days,1
Jonas Hofmann,18/19,Muscle injury,"Nov 26, 2018","Dec 20, 2018",25 days,4
Jonas Hofmann,17/18,Internal ligament tear,"Oct 30, 2017","Jan 1, 2018",64 days,10
Jonas Hofmann,17/18,muscular problems,"Sep 18, 2017","Oct 12, 2017",25 days,5
Jonas Hofmann,16/17,Hip injury,"Feb 2, 2017","Feb 13, 2017",12 days,3
Amine Adli,24/25,Fitness,"Jan 30, 2025","Feb 6, 2025",8 days,2
Amine Adli,24/25,Broken fibula,"Oct 24, 2024","Jan 30, 2025",99 days,19
Amine Adli,22/23,Broken collarbone,"Aug 15, 2022","Sep 26, 2022",43 days,14
Amine Adli,21/22,Tendon rupture,"Mar 24, 2022","Aug 8, 2022",138 days,24
Martin Terrier,24/25,Achilles tendon rupture,"Jan 18, 2025",,40 days,9
Martin Terrier,24/25,Forearm fracture,"Nov 24, 2024","Dec 2, 2024",9 days,2
Martin Terrier,24/25,Knock,"Nov 1, 2024","Nov 11, 2024",11 days,3
Martin Terrier,23/24,flu,"Sep 30, 2023","Oct 2, 2023",3 days,1
Martin Terrier,22/23,Cruciate ligament tear,"Jan 3, 2023","Sep 29, 2023",270 days,32
Martin Terrier,22/23,Hamstring injury,"Nov 4, 2022","Nov 11, 2022",8 days,1
Martin Terrier,20/21,Corona virus,"Nov 23, 2020","Dec 6, 2020",14 days,4
Martin Terrier,19/20,Ill,"Jan 30, 2020","Feb 4, 2020",6 days,2
Martin Terrier,19/20,Knock,"Nov 1, 2019","Nov 9, 2019",9 days,2
Martin Terrier,17/18,Groin injury,"Apr 9, 2018","May 15, 2018",37 days,5
Martin Terrier,17/18,Hamstring strain,"Mar 12, 2018","Mar 30, 2018",19 days,3
Martin Terrier,17/18,Hamstring strain,"Dec 21, 2017","Jan 15, 2018",26 days,2
Victor Boniface,24/25,Fitness,"Dec 18, 2024","Jan 20, 2025",34 days,4
Victor Boniface,24/25,Hamstring injury,"Nov 19, 2024","Dec 18, 2024",30 days,7
Victor Boniface,24/25,Knock,"Oct 20, 2024","Oct 24, 2024",5 days,1
Victor Boniface,23/24,Adductor injury,"Jan 8, 2024","Apr 1, 2024",85 days,23
Victor Boniface,20/21,Cruciate ligament tear,"Nov 23, 2020","Nov 15, 2021",358 days,56
Victor Boniface,18/19,Cruciate ligament tear,"Mar 22, 2019","Sep 16, 2019",179 days,34
Patrik Schick,24/25,Calf problems,"Dec 4, 2024","Dec 9, 2024",6 days,1
Patrik Schick,23/24,Calf injury,"Oct 31, 2023","Nov 29, 2023",30 days,18
Patrik Schick,22/23,Adductor injury,"Mar 11, 2023","Oct 18, 2023",222 days,74
Patrik Schick,22/23,Adductor pain,"Nov 3, 2022","Feb 15, 2023",105 days,24
Patrik Schick,22/23,Adductor pain,"Oct 20, 2022","Oct 24, 2022",5 days,2
Patrik Schick,21/22,Groin surgery,"May 16, 2022","Jun 30, 2022",46 days,9
Patrik Schick,21/22,Torn muscle fiber,"Feb 17, 2022","Mar 31, 2022",43 days,23
Patrik Schick,21/22,Fitness,"Nov 15, 2021","Nov 25, 2021",11 days,4
Patrik Schick,21/22,Torn ankle ligaments,"Oct 25, 2021","Nov 15, 2021",22 days,15
Patrik Schick,20/21,minor knock,"Jan 21, 2021","Jan 28, 2021",8 days,1
Patrik Schick,20/21,Torn muscle fiber,"Oct 5, 2020","Nov 19, 2020",46 days,17
Patrik Schick,20/21,Quarantine,"Sep 3, 2020","Sep 8, 2020",6 days,-
Patrik Schick,19/20,Knee problems,"Jun 22, 2020","Jun 29, 2020",8 days,1
Patrik Schick,19/20,Ankle problems,"Oct 14, 2019","Nov 18, 2019",36 days,19
Patrik Schick,19/20,Ankle problems,"Sep 16, 2019","Sep 30, 2019",15 days,5
Alejo Sarco,23/24,Inflammation of ligaments in the knee,"Jun 10, 2024","Jun 18, 2024",9 days,1
