player_name,date_of_birth/age,height,position
Nando Verdoni,Jul 9 2003 (21),189 m,Goalkeeper
Joris Kramer,Aug 2 1996 (28),187 m,Centre-Back
Gerrit Nauber,Apr 13 1992 (32),186 m,Centre-Back
Julius Dirksen,Feb 2 2003 (22),185 m,Centre-Back
Pim Saathof,Dec 28 2003 (21),186 m,Centre-Back
Aske Adelgaard,Nov 10 2003 (21),175 m,Left-Back
Dean James,Apr 30 2000 (24),177 m,Left-Back
Mats Deijl,Jul 15 1997 (27),181 m,Right-Back
Luca Everink,Feb 9 2001 (24),179 m,Right-Back
Enric Llansana,Apr 12 2001 (23),183 m,Defensive Midfield
Calvin Twigt,Jan 30 2003 (22),183 m,Defensive Midfield
Evert Linthorst,Mar 3 2000 (24),187 m,Central Midfield
Robbin Weijenberg,Nov 8 2004 (20),180 m,Central Midfield
Jakob Breum,Nov 17 2003 (21),178 m,Attacking Midfield
Søren Tengstedt,Jun 30 2000 (24),187 m,Attacking Midfield
Mathis Suray,Jul 26 2001 (23),173 m,Attacking Midfield
Oskar Sivertsen,Feb 15 2004 (21),177 m,Left Winger
Oliver Antman,Aug 15 2001 (23),185 m,Right Winger
Oscar Pettersson,Feb 1 2000 (25),178 m,Right Winger
Milan Smit,Feb 13 2003 (22),190 m,Centre-Forward
Victor Edvardsen,Jan 14 1996 (29),185 m,Centre-Forward
Finn Stokkers,Apr 18 1996 (28),186 m,Centre-Forward
Etienne Vaessen,Jul 26 1995 (29),189 m,Goalkeeper
Hidde Jurjus,Feb 9 1994 (31),189 m,Goalkeeper
Dirk Baron,Aug 16 2002 (22),196 m,Goalkeeper
Jasper Meijster,Jan 3 2005 (20),188 m,Goalkeeper
Hjalmar Ekdal,Oct 21 1998 (26),187 m,Centre-Back
Thijmen Blokzijl,Feb 25 2005 (20),191 m,Centre-Back
Marco Rente,Feb 25 1997 (28),188 m,Centre-Back
Finn Stam,Apr 13 2003 (21),188 m,Centre-Back
Marvin Peersman,Feb 10 1991 (34),185 m,Centre-Back
Sven Bouland,Feb 22 2006 (19),184 m,Centre-Back
Maxim Mariani,Nov 3 2004 (20),185 m,Centre-Back
Wouter Prins,Feb 6 2004 (21),173 m,Left-Back
Leandro Bacuna,Aug 21 1991 (33),180 m,Right-Back
Stije Resink,May 28 2003 (21),186 m,Central Midfield
Dave Kwakman,Aug 7 2004 (20),185 m,Central Midfield
Tika de Jonge,Mar 11 2003 (21),183 m,Central Midfield
Thijs Oosting,May 2 2000 (24),176 m,Attacking Midfield
David van der Werff,Aug 31 2004 (20),180 m,Attacking Midfield
Luciano Valente,Oct 4 2003 (21),189 m,Left Winger
Mats Seuntjens,Apr 17 1992 (32),187 m,Left Winger
Noam Emeran,Sep 24 2002 (22),179 m,Left Winger
Fofin Turay,Jun 7 2004 (20),178 m,Left Winger
Jorg Schreuders,Sep 9 2004 (20),177 m,Right Winger
Rui Mendes,Nov 10 1999 (25),179 m,Right Winger
Thom van Bergen,Jan 6 2004 (21),180 m,Centre-Forward
Romano Postema,Feb 7 2002 (23),175 m,Centre-Forward
Brynjólfur Andersen Willumsson,Aug 12 2000 (24),185 m,Centre-Forward
van Veen,Jun 1 1991 (33),189 m,Centre-Forward
Andries Noppert,Apr 7 1994 (30),203 m,Goalkeeper
Mickey van der Hart,Jun 13 1994 (30),188 m,Goalkeeper
Bernt Klaverboer,Sep 26 2005 (19),190 m,Goalkeeper
Jan Bekkema,Apr 9 1996 (28),186 m,Goalkeeper
Pawel Bochniewicz,Jan 30 1996 (29),194 m,Centre-Back
Nikolai Hopland,Jul 24 2004 (20),190 m,Centre-Back
Sam Kersten,Jan 30 1998 (27),191 m,Centre-Back
Hristiyan Petrov,Jun 24 2002 (22),186 m,Centre-Back
Jordy de Wijs,Jan 8 1995 (30),189 m,Centre-Back
Mateja Milovanovic,Apr 18 2004 (20),186 m,Centre-Back
Mats Köhlert,May 2 1998 (26),169 m,Left-Back
Oliver Braude,Feb 21 2004 (21),174 m,Right-Back
Denzel Hall,May 22 2001 (23),180 m,Right-Back
Hussein Ali,Mar 1 2002 (23),180 m,Right-Back
Marcus Linday,Jun 2 2003 (21),186 m,Central Midfield
Amara Condé,Jan 6 1997 (28),173 m,Central Midfield
Espen van Ee,Jul 5 2003 (21),179 m,Central Midfield
Ahmed,Dec 28 2005 (19),186 m,Central Midfield
Oostra,Jan 29 2004 (21),17 m,Central Midfield
Luuk Brouwers,May 3 1998 (26),183 m,Attacking Midfield
