player_name,minutes_played,season
Ethan Horvath,1200.0,24/25
Ethan Horvath,1575.0,23/24
Ethan Horvath,4710.0,22/23
Ethan Horvath,901.0,21/22
Ethan Horvath,540.0,20/21
Ethan Horvath,321.0,19/20
Ethan Horvath,3420.0,18/19
Ethan Horvath,2115.0,17/18
Ethan Horvath,450.0,16/17
Ethan Horvath,4312.0,15/16
Ethan Horvath,2033.0,14/15
Ethan Horvath,180.0,13/14
Ethan Horvath,90.0,12/13
Jak Alnwick,2790.0,24/25
Jak Alnwick,7078.0,21/22
Jak Alnwick,8052.0,20/21
Jak Alnwick,2100.0,19/20
Jak Alnwick,3870.0,18/19
Jak Alnwick,1410.0,17/18
Jak Alnwick,2939.0,16/17
Jak Alnwick,2750.0,12/13
Matthew Turner,710.0,20/21
Jesper Daland,2142.0,24/25
Jesper Daland,3448.0,23/24
Jesper Daland,3892.0,22/23
Jesper Daland,3638.0,21/22
Jesper Daland,2705.0,19/20
Jesper Daland,203.0,18/19
Jesper Daland,2313.0,17/18
Jesper Daland,585.0,15/16
Calum Chambers,3130.0,24/25
Calum Chambers,506.0,23/24
Calum Chambers,1651.0,20/21
Calum Chambers,1577.0,19/20
Calum Chambers,2432.0,17/18
Calum Chambers,2910.0,16/17
Calum Chambers,2470.0,15/16
Calum Chambers,3003.0,14/15
Calum Chambers,2531.0,13/14
Calum Chambers,3793.0,12/13
Dimitrios Goutas,4127.0,23/24
Dimitrios Goutas,4703.0,22/23
Dimitrios Goutas,3353.0,21/22
Dimitrios Goutas,3156.0,20/21
Dimitrios Goutas,3780.0,19/20
Dimitrios Goutas,1945.0,18/19
Dimitrios Goutas,1922.0,17/18
Dimitrios Goutas,2525.0,16/17
Dimitrios Goutas,749.0,15/16
Dimitrios Goutas,3015.0,14/15
Dimitrios Goutas,3925.0,13/14
Dimitrios Goutas,2956.0,12/13
Will Fish,1042.0,24/25
Will Fish,7606.0,23/24
Will Fish,2802.0,22/23
Will Fish,1344.0,21/22
Will Fish,2573.0,20/21
Will Fish,1459.0,19/20
Jamilu Collins,167.0,24/25
Jamilu Collins,3248.0,23/24
Jamilu Collins,279.0,22/23
Jamilu Collins,1730.0,21/22
Jamilu Collins,2287.0,20/21
Jamilu Collins,3614.0,19/20
Jamilu Collins,3940.0,18/19
Jamilu Collins,2042.0,17/18
Jamilu Collins,3109.0,16/17
Jamilu Collins,3335.0,15/16
Jamilu Collins,5212.0,13/14
Jamilu Collins,344.0,12/13
Joel Bagan,1635.0,23/24
Joel Bagan,2936.0,21/22
Joel Bagan,553.0,20/21
Joel Bagan,645.0,19/20
Perry Ng,104.0,15/16
Perry Ng,1170.0,14/15
Sivert Mannsverk,1067.0,24/25
Sivert Mannsverk,2819.0,23/24
Sivert Mannsverk,3840.0,22/23
Sivert Mannsverk,2746.0,21/22
Sivert Mannsverk,3125.0,19/20
Sivert Mannsverk,1490.0,18/19
Sivert Mannsverk,0.0,16/17
David Turnbull,667.0,24/25
David Turnbull,2300.0,23/24
David Turnbull,2307.0,22/23
David Turnbull,6002.0,21/22
David Turnbull,5204.0,20/21
David Turnbull,344.0,19/20
David Turnbull,5679.0,18/19
David Turnbull,789.0,17/18
David Turnbull,310.0,16/17
David Turnbull,0.0,15/16
Alex Robertson,1358.0,22/23
Alex Robertson,330.0,21/22
