player_name,season,injury,from_date,to_date,days_out,matches_missed
Philipp Köhn,19/20,Ankle injury,"Mar 1, 2020","Sep 1, 2020",185 days,16
Philipp Köhn,18/19,Knee injury,"Jul 25, 2018","Aug 24, 2018",31 days,7
Wilfried Singo,24/25,Thigh problems,"Jan 22, 2025","Feb 16, 2025",26 days,6
Wilfried Singo,22/23,Hamstring muscle injury,"Dec 3, 2022","Jan 6, 2023",35 days,1
Wilfried Singo,22/23,Knee problems,"Aug 31, 2022","Sep 9, 2022",10 days,2
Wilfried Singo,21/22,surgery,"May 10, 2022","Jun 12, 2022",34 days,4
Wilfried Singo,20/21,Inflammation in the knee,"Mar 17, 2021","Apr 13, 2021",28 days,6
Wilfried Singo,20/21,Corona virus,"Feb 23, 2021","Mar 17, 2021",23 days,3
Wilfried Singo,19/20,Shoulder injury,"Jul 31, 2020","Oct 15, 2020",77 days,5
Thilo Kehrer,22/23,Ill,"Mar 3, 2023","Mar 4, 2023",2 days,1
Thilo Kehrer,20/21,Adductor pain,"Mar 20, 2021","Mar 30, 2021",11 days,3
Thilo Kehrer,20/21,Corona virus,"Jan 8, 2021","Jan 19, 2021",12 days,3
Thilo Kehrer,20/21,surgery,"Nov 9, 2020","Nov 29, 2020",21 days,6
Thilo Kehrer,20/21,Adductor pain,"Sep 14, 2020","Oct 25, 2020",42 days,10
Thilo Kehrer,20/21,Knock,"Jul 24, 2020","Jul 30, 2020",7 days,1
Thilo Kehrer,19/20,Foot injury,"Aug 12, 2019","Dec 8, 2019",119 days,26
Thilo Kehrer,18/19,Knock,"Apr 22, 2019","May 13, 2019",22 days,4
Thilo Kehrer,17/18,Eye injury,"Mar 12, 2018","Mar 29, 2018",18 days,5
Thilo Kehrer,17/18,influenza,"Mar 1, 2018","Mar 5, 2018",5 days,1
Thilo Kehrer,17/18,Shoulder injury,"Nov 27, 2017","Nov 30, 2017",4 days,-
Thilo Kehrer,14/15,Torn knee ligaments,"Mar 30, 2015","May 7, 2015",39 days,9
Thilo Kehrer,12/13,Torn ligaments,"May 30, 2013","Jun 27, 2013",29 days,11
Mohammed Salisu,24/25,Hamstring injury,"Oct 16, 2024","Nov 6, 2024",22 days,5
Mohammed Salisu,23/24,Hamstring injury,"Feb 29, 2024","Mar 25, 2024",26 days,4
Mohammed Salisu,23/24,Adductor injury,"Aug 1, 2023","Nov 30, 2023",122 days,19
Mohammed Salisu,22/23,Hip injury,"Mar 20, 2023","Jun 30, 2023",103 days,13
Mohammed Salisu,22/23,Knock,"Feb 14, 2023","Mar 2, 2023",17 days,3
Mohammed Salisu,21/22,Thigh problems,"Feb 26, 2022","Mar 6, 2022",9 days,2
Mohammed Salisu,20/21,Hamstring injury,"Dec 30, 2020","Feb 5, 2021",38 days,7
Mohammed Salisu,20/21,Knock,"Sep 11, 2020","Sep 25, 2020",15 days,3
Mohammed Salisu,20/21,Hamstring injury,"Jul 7, 2020","Jul 27, 2020",21 days,4
Mohammed Salisu,19/20,Muscle injury,"Jul 6, 2020","Dec 6, 2020",154 days,19
Christian Mawissa,24/25,Hamstring injury,"Dec 14, 2024","Jan 15, 2025",33 days,6
Caio Henrique,23/24,Cruciate ligament tear,"Sep 23, 2023","Apr 22, 2024",213 days,26
Caio Henrique,22/23,Corona virus,"Aug 1, 2022","Aug 8, 2022",8 days,2
Caio Henrique,20/21,Knock,"Sep 4, 2020","Oct 14, 2020",41 days,4
Caio Henrique,20/21,Bruise on the ankle joint,"Aug 29, 2020","Sep 5, 2020",8 days,1
Kassoum Ouattara,24/25,Calf injury,"Mar 10, 2025",,25 days,2
Kassoum Ouattara,22/23,Knee injury,"May 11, 2023","May 26, 2023",16 days,5
Vanderson,23/24,Hip injury,"Feb 11, 2024","Mar 8, 2024",27 days,4
Vanderson,23/24,Knee injury,"Oct 4, 2023","Nov 8, 2023",36 days,4
Vanderson,22/23,Knee injury,"Feb 1, 2023","Mar 10, 2023",38 days,8
Vanderson,21/22,Corona virus,"Mar 18, 2022","Mar 25, 2022",8 days,1
Vanderson,20/21,Corona virus,"Apr 6, 2021","Apr 21, 2021",16 days,4
Jordan Teze,24/25,Torn thigh muscle,"Jan 29, 2025",,65 days,11
Jordan Teze,23/24,Head injury,"Dec 4, 2023","Dec 10, 2023",7 days,1
Jordan Teze,23/24,Knock,"Sep 1, 2023","Sep 3, 2023",3 days,1
Jordan Teze,21/22,Hamstring injury,"Nov 7, 2021","Nov 30, 2021",24 days,6
Jordan Teze,20/21,Corona virus,"Oct 8, 2020","Oct 24, 2020",17 days,5
Denis Zakaria,24/25,Ill,"Jan 11, 2025","Jan 16, 2025",6 days,1
Denis Zakaria,24/25,Hamstring injury,"Dec 8, 2024","Dec 31, 2024",24 days,4
Denis Zakaria,24/25,Adductor injury,"Oct 27, 2024","Nov 10, 2024",15 days,4
Denis Zakaria,24/25,Knee bruise,"Oct 7, 2024","Oct 17, 2024",11 days,2
Denis Zakaria,23/24,Hamstring injury,"May 2, 2024","Jun 20, 2024",50 days,7
Denis Zakaria,22/23,Hamstring injury,"Jan 13, 2023","Feb 13, 2023",32 days,4
Denis Zakaria,21/22,Thigh problems,"May 15, 2022","May 21, 2022",7 days,2
Denis Zakaria,21/22,Adductor injury,"Feb 26, 2022","Mar 31, 2022",34 days,8
Denis Zakaria,21/22,strain,"Jan 14, 2022","Jan 16, 2022",3 days,1
Denis Zakaria,21/22,Corona virus,"Dec 29, 2021","Jan 10, 2022",13 days,1
Denis Zakaria,21/22,Fitness,"Aug 10, 2021","Aug 15, 2021",6 days,1
Denis Zakaria,21/22,Corona virus,"Jul 26, 2021","Aug 9, 2021",15 days,1
Denis Zakaria,20/21,Knee problems,"Feb 7, 2021","Feb 16, 2021",10 days,1
Denis Zakaria,19/20,Knee injury,"Mar 8, 2020","Nov 9, 2020",247 days,30
Denis Zakaria,18/19,Inner ligament injury,"Nov 3, 2018","Nov 7, 2018",5 days,1
Soungoutou Magassa,24/25,Facial fracture,"Feb 12, 2025",,51 days,8
Soungoutou Magassa,23/24,Knee injury,"Oct 24, 2023","Nov 1, 2023",9 days,1
Moatasem Al-Musrati,24/25,Thigh problems,"Jan 6, 2025","Jan 8, 2025",3 days,1
Moatasem Al-Musrati,24/25,Hamstring strain,"Sep 26, 2024","Oct 7, 2024",12 days,4
Moatasem Al-Musrati,23/24,Capsular injury,"Mar 11, 2024","Mar 25, 2024",15 days,2
Moatasem Al-Musrati,23/24,unknown injury,"Nov 9, 2023","Jan 19, 2024",72 days,13
Moatasem Al-Musrati,23/24,unknown injury,"Aug 24, 2023","Sep 8, 2023",16 days,2
Moatasem Al-Musrati,22/23,unknown injury,"May 4, 2023","May 23, 2023",20 days,3
Moatasem Al-Musrati,21/22,Knee injury,"Nov 22, 2021","Dec 7, 2021",16 days,3
Moatasem Al-Musrati,20/21,Rest,"Jan 25, 2021","Jan 27, 2021",3 days,1
Moatasem Al-Musrati,19/20,Muscle injury,"Jul 6, 2020","Jul 15, 2020",10 days,2
Moatasem Al-Musrati,19/20,Muscle injury,"Sep 2, 2019","Oct 21, 2019",50 days,14
Edan Diop,24/25,Foot injury,"Aug 21, 2024","Dec 31, 2024",133 days,22
Edan Diop,23/24,Foot injury,"Aug 1, 2023","Sep 22, 2023",53 days,6
Aleksandr Golovin,24/25,Adductor injury,"Feb 12, 2025","Mar 24, 2025",41 days,7
Aleksandr Golovin,24/25,Ill,"Jan 11, 2025","Jan 16, 2025",6 days,1
Aleksandr Golovin,24/25,Knock,"Jan 8, 2025","Jan 11, 2025",4 days,1
Aleksandr Golovin,24/25,Ankle problems,"Nov 8, 2024","Nov 15, 2024",8 days,1
Aleksandr Golovin,24/25,Ankle injury,"Aug 1, 2024","Aug 31, 2024",31 days,2
Aleksandr Golovin,23/24,Ankle injury,"Apr 17, 2024","Jul 15, 2024",90 days,6
Aleksandr Golovin,23/24,Adductor pain,"Oct 9, 2023","Oct 17, 2023",9 days,-
Aleksandr Golovin,22/23,Fever,"Apr 22, 2023","Apr 24, 2023",3 days,1
Aleksandr Golovin,22/23,Adductor pain,"Mar 18, 2023","Mar 31, 2023",14 days,1
Aleksandr Golovin,21/22,Adductor pain,"Feb 24, 2022","Mar 3, 2022",8 days,2
Aleksandr Golovin,21/22,Corona virus,"Feb 3, 2022","Feb 10, 2022",8 days,2
Aleksandr Golovin,21/22,Abdominal muscle strain,"Dec 21, 2021","Jan 24, 2022",35 days,5
Aleksandr Golovin,21/22,Hip injury,"Oct 3, 2021","Oct 23, 2021",21 days,3
Aleksandr Golovin,21/22,Hip injury,"Sep 5, 2021","Sep 15, 2021",11 days,1
Aleksandr Golovin,21/22,bruise,"Aug 13, 2021","Aug 16, 2021",4 days,1
Eliesse Ben Seghir,23/24,Shoulder injury,"Oct 30, 2023","Jan 21, 2024",84 days,18
Eliesse Ben Seghir,23/24,Hip injury,"Aug 20, 2023","Oct 12, 2023",54 days,12
Eliesse Ben Seghir,23/24,Hamstring injury,"Aug 20, 2023","Oct 12, 2023",54 days,12
Eliesse Ben Seghir,22/23,Ill,"Mar 3, 2023","Mar 17, 2023",15 days,2
Takumi Minamino,24/25,Ill,"Jan 8, 2025","Jan 13, 2025",6 days,1
Takumi Minamino,23/24,Adductor pain,"Sep 27, 2023","Oct 4, 2023",8 days,1
Takumi Minamino,22/23,muscular problems,"Aug 5, 2022","Aug 8, 2022",4 days,1
Takumi Minamino,21/22,Thigh problems,"Sep 4, 2021","Sep 13, 2021",10 days,2
Takumi Minamino,19/20,Thigh problems,"Dec 13, 2019","Dec 31, 2019",19 days,3
Takumi Minamino,17/18,Internal ligament tear,"Aug 20, 2017","Oct 2, 2017",44 days,12
Takumi Minamino,14/15,Adductor injury,"Feb 16, 2015","Feb 23, 2015",8 days,2
Takumi Minamino,12/13,Knee medial ligament tear,"Aug 18, 2013","Sep 24, 2013",38 days,10
Maghnes Akliouche,24/25,Muscle fatigue,"Jan 9, 2025","Jan 16, 2025",8 days,2
Maghnes Akliouche,22/23,Hip problems,"Oct 22, 2022","Oct 24, 2022",3 days,1
Krépin Diatta,24/25,Adductor injury,"Nov 21, 2024","Jan 13, 2025",54 days,10
Krépin Diatta,23/24,Hip injury,"Feb 7, 2024","Mar 13, 2024",36 days,6
Krépin Diatta,21/22,Cruciate ligament tear,"Nov 19, 2021","Jul 1, 2022",225 days,45
Krépin Diatta,21/22,Ankle injury,"Oct 9, 2021","Nov 1, 2021",24 days,5
Krépin Diatta,21/22,concussion,"Sep 22, 2021","Sep 29, 2021",8 days,2
Krépin Diatta,20/21,Fitness,"May 5, 2021","May 15, 2021",11 days,2
Krépin Diatta,20/21,Corona virus,"Apr 17, 2021","May 4, 2021",18 days,4
Krépin Diatta,19/20,minor knock,"Jan 12, 2020","Jan 27, 2020",16 days,3
Krépin Diatta,18/19,Wrist fracture,"Jul 23, 2018","Aug 30, 2018",39 days,5
Krépin Diatta,18/19,concussion,"Jul 23, 2018","Aug 30, 2018",39 days,5
Mika Biereth,23/24,Knee injury,"Aug 19, 2023","Oct 28, 2023",71 days,15
Mika Biereth,22/23,unknown injury,"Jan 26, 2023","Feb 28, 2023",34 days,6
Mika Biereth,22/23,unknown injury,"Oct 20, 2022","Nov 30, 2022",42 days,9
Mika Biereth,22/23,unknown injury,"Aug 10, 2022","Sep 7, 2022",29 days,4
Folarin Balogun,24/25,Shoulder injury,"Dec 2, 2024","Mar 24, 2025",113 days,21
Folarin Balogun,24/25,Shoulder injury,"Oct 6, 2024","Nov 23, 2024",49 days,7
Folarin Balogun,23/24,Shoulder injury,"Jan 21, 2024","Feb 5, 2024",16 days,2
Folarin Balogun,22/23,Hamstring injury,"Dec 31, 2022","Jan 10, 2023",11 days,2
