player_name,season,injury,from_date,to_date,days_out,matches_missed
Mika Godts,24/25,Hamstring injury,"Jan 30, 2025","Feb 12, 2025",14 days,3
Mika Godts,24/25,Hamstring injury,"Nov 10, 2024","Dec 7, 2024",28 days,5
Mika Godts,24/25,minor knock,"Sep 2, 2024","Sep 17, 2024",16 days,-
Mika Godts,23/24,Thigh problems,"Dec 2, 2023","Mar 1, 2024",91 days,12
Oliver Edvardsen,23/24,Foot injury,"May 19, 2024","Sep 20, 2024",125 days,10
Oliver Edvardsen,23/24,Hip injury,"Feb 21, 2024","Feb 28, 2024",8 days,1
Oliver Edvardsen,23/24,Ill,"Jan 15, 2024","Jan 19, 2024",5 days,1
Oliver Edvardsen,22/23,unknown injury,"Apr 7, 2023","Apr 15, 2023",9 days,2
Oliver Edvardsen,22/23,Muscle injury,"Feb 4, 2023","Feb 28, 2023",25 days,5
Amourricho Van Axel-Dongen,24/25,Ankle injury,"Oct 17, 2024",,136 days,27
Amourricho Van Axel-Dongen,24/25,unknown injury,"Sep 21, 2024","Oct 3, 2024",13 days,4
Amourricho Van Axel-Dongen,23/24,Knee injury,"Apr 6, 2024","Sep 12, 2024",160 days,14
Amourricho Van Axel-Dongen,23/24,unknown injury,"Dec 22, 2023","Feb 25, 2024",66 days,9
Amourricho Van Axel-Dongen,23/24,unknown injury,"Oct 9, 2023","Dec 11, 2023",64 days,12
Amourricho Van Axel-Dongen,22/23,unknown injury,"Apr 6, 2023","Sep 14, 2023",162 days,12
Amourricho Van Axel-Dongen,22/23,Syndesmotic ligament tear,"Sep 15, 2022","Jan 12, 2023",120 days,12
Amourricho Van Axel-Dongen,22/23,unknown injury,"Jul 16, 2022","Aug 7, 2022",23 days,-
Amourricho Van Axel-Dongen,21/22,Ankle injury,"Jan 24, 2022","Jul 8, 2022",166 days,17
Amourricho Van Axel-Dongen,21/22,Hamstring injury,"Jul 4, 2021","Aug 15, 2021",43 days,1
Amourricho Van Axel-Dongen,19/20,Nose injury,"Nov 6, 2019","Jan 10, 2020",66 days,-
Bertrand Traoré,24/25,Knee problems,"Nov 10, 2024","Nov 23, 2024",14 days,1
Bertrand Traoré,24/25,Knee injury,"Oct 1, 2024","Oct 5, 2024",5 days,1
Bertrand Traoré,23/24,unknown injury,"Nov 25, 2023","Jan 13, 2024",50 days,12
Bertrand Traoré,23/24,unknown injury,"Aug 30, 2023","Sep 25, 2023",27 days,7
Bertrand Traoré,22/23,Knee injury,"Dec 28, 2022","Feb 15, 2023",50 days,8
Bertrand Traoré,21/22,Corona virus,"Jan 10, 2022","Jan 16, 2022",7 days,3
Bertrand Traoré,21/22,Strain in the thigh and gluteal muscles,"Oct 20, 2021","Dec 25, 2021",67 days,11
Bertrand Traoré,20/21,Bruised ribs,"Nov 2, 2020","Nov 20, 2020",19 days,3
Bertrand Traoré,20/21,Ill,"Sep 14, 2020","Sep 19, 2020",6 days,2
Bertrand Traoré,17/18,Inner ligament stretch of the knee,"Nov 24, 2017","Jan 13, 2018",51 days,9
Bertrand Traoré,16/17,Leg injury,"Dec 2, 2016","Jan 1, 2017",31 days,5
Bertrand Traoré,16/17,Foot injury,"Nov 7, 2016","Nov 16, 2016",10 days,1
Bertrand Traoré,15/16,Hip injury,"Sep 5, 2015","Sep 19, 2015",15 days,3
Bertrand Traoré,14/15,Leg injury,"Sep 11, 2014","Sep 18, 2014",8 days,1
Steven Berghuis,24/25,unknown injury,"Aug 27, 2024","Oct 29, 2024",64 days,10
Steven Berghuis,23/24,Back injury,"Mar 9, 2024","May 4, 2024",57 days,8
Steven Berghuis,23/24,Knee injury,"Feb 16, 2024","Mar 8, 2024",22 days,5
Steven Berghuis,23/24,Calf problems,"Oct 7, 2023","Oct 18, 2023",12 days,1
Steven Berghuis,23/24,Knock,"Jul 18, 2023","Aug 5, 2023",19 days,-
Steven Berghuis,22/23,Knock,"May 5, 2023","May 27, 2023",23 days,3
Steven Berghuis,22/23,Ill,"Jan 7, 2023","Jan 13, 2023",7 days,2
Steven Berghuis,21/22,Hip injury,"Nov 6, 2021","Nov 20, 2021",15 days,3
Steven Berghuis,20/21,Groin injury,"Dec 13, 2020","Dec 22, 2020",10 days,2
Steven Berghuis,19/20,Knee injury,"Sep 14, 2019","Sep 17, 2019",4 days,1
Steven Berghuis,16/17,Knee injury,"Oct 1, 2016","Oct 13, 2016",13 days,3
Steven Berghuis,14/15,Ill,"Jan 23, 2015","Jan 26, 2015",4 days,1
Steven Berghuis,14/15,Metatarsal fracture,"Sep 4, 2014","Nov 30, 2014",88 days,31
Steven Berghuis,14/15,Thigh problems,"Aug 22, 2014","Aug 29, 2014",8 days,1
Steven Berghuis,13/14,Thigh problems,"Jan 25, 2014","Jan 30, 2014",6 days,1
Christian Rasmussen,24/25,Hamstring injury,"Feb 20, 2025",,10 days,2
Christian Rasmussen,24/25,Muscle injury,"Aug 5, 2024","Aug 19, 2024",15 days,4
Christian Rasmussen,22/23,Knock,"Feb 19, 2023","Apr 16, 2023",57 days,8
Christian Rasmussen,20/21,Hamstring injury,"Nov 17, 2020","Feb 18, 2021",94 days,11
Brian Brobbey,24/25,Ill,"Feb 19, 2025","Feb 22, 2025",4 days,1
Brian Brobbey,24/25,Head injury,"Nov 28, 2024","Dec 3, 2024",6 days,2
Brian Brobbey,24/25,unknown injury,"Sep 18, 2024","Sep 21, 2024",4 days,2
Brian Brobbey,24/25,Fitness,"Jul 29, 2024","Aug 5, 2024",8 days,1
Brian Brobbey,23/24,Hamstring injury,"Jun 12, 2024","Jun 20, 2024",9 days,1
Brian Brobbey,23/24,Hamstring injury,"Mar 17, 2024","Apr 6, 2024",21 days,5
Brian Brobbey,23/24,muscular problems,"Nov 13, 2023","Nov 29, 2023",17 days,3
Brian Brobbey,23/24,unknown injury,"Sep 4, 2023","Sep 15, 2023",12 days,2
Brian Brobbey,22/23,Shoulder injury,"Jan 9, 2023","Jan 13, 2023",5 days,1
Brian Brobbey,21/22,Knee medial ligament tear,"Jan 23, 2022","Mar 7, 2022",44 days,9
Brian Brobbey,21/22,Muscle injury,"Oct 9, 2021","Nov 4, 2021",27 days,8
Brian Brobbey,20/21,Thigh problems,"Apr 9, 2021","Apr 14, 2021",6 days,1
Brian Brobbey,20/21,unknown injury,"Mar 2, 2021","Mar 10, 2021",9 days,1
Brian Brobbey,20/21,concussion,"Dec 10, 2020","Jan 16, 2021",38 days,4
Brian Brobbey,19/20,unknown injury,"Feb 18, 2020","Jun 15, 2020",119 days,3
Wout Weghorst,24/25,Broken toe,"Feb 10, 2025","Mar 31, 2025",50 days,10
Wout Weghorst,24/25,Ill,"Nov 27, 2024","Nov 30, 2024",4 days,1
Wout Weghorst,24/25,Hamstring injury,"Sep 28, 2024","Oct 5, 2024",8 days,2
Wout Weghorst,23/24,Torn muscle fiber in the adductor area,"Dec 9, 2023","Dec 31, 2023",23 days,2
Wout Weghorst,23/24,unknown injury,"Sep 29, 2023","Oct 5, 2023",7 days,1
Wout Weghorst,23/24,muscular problems,"Aug 17, 2023","Aug 24, 2023",8 days,1
Wout Weghorst,22/23,Hamstring injury,"Oct 16, 2022","Oct 22, 2022",7 days,1
Wout Weghorst,21/22,Corona virus,"Oct 17, 2021","Nov 1, 2021",16 days,3
Wout Weghorst,19/20,Hamstring strain,"Feb 1, 2020","Feb 6, 2020",6 days,1
Wout Weghorst,16/17,Groin injury,"Mar 18, 2017","Mar 25, 2017",8 days,2
Wout Weghorst,16/17,Nose injury,"Sep 30, 2016","Oct 13, 2016",14 days,3
Nordin Bakker,23/24,Groin injury,"Mar 13, 2024","Apr 10, 2024",29 days,4
Jonas Wendlinger,22/23,Broken cheekbone,"Aug 17, 2022","Aug 26, 2022",10 days,1
Jonas Wendlinger,19/20,Inflammation of pubic bone,"Oct 31, 2019","Feb 15, 2020",108 days,5
Stijn Keller,23/24,Shoulder injury,"Mar 1, 2024","May 17, 2024",78 days,10
Stijn Keller,21/22,Corona virus,"Jan 9, 2022","Jan 20, 2022",12 days,2
Stijn Keller,20/21,Ankle injury,"May 6, 2021","Jun 30, 2021",56 days,4
Joey Jacobs,19/20,Knock,"Aug 11, 2019","Oct 31, 2019",82 days,12
Théo Barbet,24/25,Ankle injury,"Jul 19, 2024","Aug 23, 2024",36 days,2
Théo Barbet,23/24,unknown injury,"Oct 25, 2023","Nov 25, 2023",32 days,4
Marvin Martins,24/25,unknown injury,"Aug 15, 2024","Sep 30, 2024",47 days,9
Marvin Martins,23/24,unknown injury,"May 22, 2024","May 29, 2024",8 days,2
Marvin Martins,23/24,Torn muscle fiber,"Feb 25, 2024","Mar 19, 2024",24 days,4
Marvin Martins,22/23,Knee problems,"Oct 12, 2022","Oct 14, 2022",3 days,1
Marvin Martins,22/23,Adductor injury,"Sep 30, 2022","Oct 8, 2022",9 days,2
Marvin Martins,21/22,unknown injury,"Apr 7, 2022","Apr 14, 2022",8 days,1
Marvin Martins,21/22,Adductor pain,"Nov 4, 2021","Dec 11, 2021",38 days,6
Marvin Martins,21/22,Adductor pain,"Jul 28, 2021","Sep 16, 2021",51 days,10
Marvin Martins,21/22,Muscle injury,"Jul 16, 2021","Jul 21, 2021",6 days,1
Marvin Martins,15/16,Fitness,"Jun 13, 2016","Jul 17, 2016",35 days,2
Marvin Martins,15/16,Cruciate ligament surgery,"Jan 25, 2016","Jun 12, 2016",140 days,16
Marvin Martins,15/16,Bruised back,"Aug 1, 2015","Aug 6, 2015",6 days,1
Marvin Martins,14/15,Cruciate ligament tear,"Jan 16, 2015","May 13, 2015",118 days,14
James Lawrence,24/25,Calf injury,"Oct 3, 2024","Nov 2, 2024",31 days,4
James Lawrence,23/24,surgery,"Jan 16, 2024","May 15, 2024",121 days,16
James Lawrence,23/24,muscular problems,"Sep 3, 2023","Jan 15, 2024",135 days,14
James Lawrence,23/24,Head injury,"Aug 20, 2023","Aug 23, 2023",4 days,1
James Lawrence,22/23,Capsular injury,"May 24, 2023","May 27, 2023",4 days,-
James Lawrence,22/23,Knee medial ligament tear,"Nov 14, 2022","Feb 28, 2023",107 days,6
James Lawrence,21/22,unknown injury,"May 1, 2022","May 6, 2022",6 days,-
James Lawrence,21/22,unknown injury,"Feb 23, 2022","Mar 30, 2022",36 days,7
James Lawrence,21/22,stomach problems,"Feb 12, 2022","Feb 20, 2022",9 days,2
James Lawrence,20/21,Muscle injury,"May 30, 2021","Jun 30, 2021",32 days,6
James Lawrence,20/21,Corona virus,"Dec 20, 2020","Jan 29, 2021",41 days,7
James Lawrence,20/21,Fitness,"Aug 12, 2020","Oct 19, 2020",69 days,11
James Lawrence,20/21,Corona virus,"Jul 28, 2020","Aug 11, 2020",15 days,1
James Lawrence,19/20,Corona virus,"Jun 5, 2020","Jun 21, 2020",17 days,4
James Lawrence,19/20,Knee surgery,"Dec 9, 2019","Feb 22, 2020",76 days,7
Christopher Mamengi,23/24,unknown injury,"Nov 23, 2023","Feb 21, 2024",91 days,12
Christopher Mamengi,21/22,Knee injury,"Aug 13, 2021","Jun 30, 2022",322 days,38
Christopher Mamengi,20/21,Ankle surgery,"Feb 5, 2021","Jun 30, 2021",146 days,16
Vasilios Zagaritis,23/24,unknown injury,"Dec 1, 2023","Dec 21, 2023",21 days,4
Vasilios Zagaritis,22/23,unknown injury,"Apr 30, 2023","May 18, 2023",19 days,3
Vasilios Zagaritis,22/23,Muscle fatigue,"Mar 30, 2023","Apr 15, 2023",17 days,3
Vasilios Zagaritis,22/23,Fever,"Jan 9, 2023","Jan 12, 2023",4 days,1
Hamdi Akujobi,23/24,Knee injury,"Oct 8, 2023","Dec 31, 2023",85 days,10
Hamdi Akujobi,22/23,unknown injury,"Oct 11, 2022","Nov 6, 2022",27 days,4
Hamdi Akujobi,21/22,unknown injury,"Jan 13, 2022","Jan 17, 2022",5 days,1
Hamdi Akujobi,20/21,unknown injury,"Feb 25, 2021","Apr 28, 2021",63 days,8
Damil Dankerlui,23/24,Ill,"Mar 29, 2024","Apr 8, 2024",11 days,2
Damil Dankerlui,23/24,unknown injury,"Jan 11, 2024","Jan 14, 2024",4 days,1
Damil Dankerlui,23/24,Virus,"Dec 1, 2023","Dec 15, 2023",15 days,2
Damil Dankerlui,22/23,unknown injury,"May 1, 2023","Jun 15, 2023",46 days,4
Damil Dankerlui,21/22,unknown injury,"Nov 18, 2021","Dec 16, 2021",29 days,5
Damil Dankerlui,19/20,Knee injury,"Sep 1, 2019","Oct 23, 2019",53 days,10
Thom Haye,22/23,Ill,"Feb 27, 2023","Mar 7, 2023",9 days,2
Thom Haye,22/23,unknown injury,"Sep 14, 2022","Sep 25, 2022",12 days,2
Thom Haye,21/22,Ill,"Nov 21, 2021","Nov 26, 2021",6 days,2
Thom Haye,20/21,Back problems,"Jan 17, 2021","Jan 31, 2021",15 days,2
Tim Receveur,21/22,Hamstring injury,"Oct 1, 2021","Oct 21, 2021",21 days,3
Tim Receveur,21/22,Hamstring injury,"Sep 23, 2021","Sep 30, 2021",8 days,1
Tim Receveur,18/19,Cruciate ligament surgery,"Mar 1, 2019","Jun 30, 2020",488 days,44
Tim Receveur,15/16,Knee injury,"May 16, 2015","Feb 1, 2016",262 days,23
Àlex Carbonell,24/25,unknown injury,"Aug 23, 2024","Sep 14, 2024",23 days,2
Àlex Carbonell,24/25,unknown injury,"Aug 1, 2024","Aug 15, 2024",15 days,1
Àlex Carbonell,20/21,Quarantine,"Jan 16, 2021","Jan 26, 2021",11 days,-
Àlex Carbonell,20/21,Quarantine,"Sep 29, 2020","Oct 6, 2020",8 days,1
Àlex Carbonell,19/20,Ankle injury,"Aug 30, 2019","Oct 21, 2019",53 days,7
Àlex Carbonell,17/18,Muscle injury,"Aug 22, 2017","Sep 29, 2017",39 days,6
Àlex Carbonell,15/16,Hamstring injury,"Dec 9, 2015","Mar 12, 2016",95 days,-
Àlex Carbonell,15/16,Hamstring injury,"Nov 24, 2015","Dec 8, 2015",15 days,-
Álex Balboa,24/25,Calf injury,"Oct 24, 2024","Nov 29, 2024",37 days,5
Adi Nalic,23/24,unknown injury,"Apr 13, 2024","May 2, 2024",20 days,2
Adi Nalic,22/23,Knee injury,"Apr 21, 2022","Apr 26, 2023",371 days,54
Ruben Providence,20/21,Ankle injury,"Apr 16, 2021","Jun 16, 2021",62 days,12
Faiz Mattoir,22/23,Cruciate ligament injury,"Sep 9, 2022","Jan 31, 2024",510 days,72
Faiz Mattoir,21/22,Corona virus,"Jan 12, 2022","Jan 17, 2022",6 days,1
Baptiste Guillaume,24/25,Foot injury,"Oct 18, 2024",,135 days,16
Baptiste Guillaume,23/24,Adductor pain,"Sep 27, 2023","Oct 20, 2023",24 days,2
Baptiste Guillaume,17/18,Neck injury,"Apr 16, 2018","Apr 26, 2018",11 days,1
Baptiste Guillaume,17/18,Bruised ribs,"Dec 11, 2017","Jan 5, 2018",26 days,3
Baptiste Guillaume,14/15,Hamstring injury,"Apr 16, 2015","Jun 1, 2015",47 days,6
Thomas Robinet,24/25,Thigh problems,"Aug 16, 2024","Aug 31, 2024",16 days,3
Kornelius Hansen,23/24,Shoulder injury,"Apr 26, 2023","Sep 10, 2023",138 days,14
Charles-Andreas Brym,24/25,Ill,"Oct 1, 2024","Oct 7, 2024",7 days,1
Charles-Andreas Brym,23/24,unknown injury,"Dec 13, 2023","Dec 31, 2023",19 days,2
Charles-Andreas Brym,21/22,Knock,"Mar 13, 2022","Mar 17, 2022",5 days,1
Charles-Andreas Brym,21/22,ankle sprain,"Oct 29, 2021","Nov 25, 2021",28 days,6
Rome Jayden Owusu-Oduro,24/25,Knee injury,"Jul 1, 2024","Aug 11, 2024",42 days,1
Rome Jayden Owusu-Oduro,23/24,unknown injury,"Dec 15, 2023","Dec 19, 2023",5 days,1
Rome Jayden Owusu-Oduro,23/24,unknown injury,"Aug 1, 2023","Aug 25, 2023",25 days,5
Jeroen Zoet,24/25,muscular problems,"Aug 11, 2024","Sep 13, 2024",34 days,3
Jeroen Zoet,22/23,Cruciate ligament injury,"Jan 4, 2023","Mar 7, 2023",63 days,11
